Run_RNA,Run_epi,BC_epi,BC_RNA,Exp,Plate,Well,FSC.A,FSC.W,FSC.H,SSC.A,SSC.W,SSC.H,CD29_Yel.Gr.C.610_20.A,EpCAM_Yel.Gr.A.780_60.A,Live_dead_Red.A.780_60.A,Lin_Violet.E.525_50.A,Sca1_Violet.C.670_30.A,Tspan8_UV.C.379_28.A,facs_phenotype,facs_phenotype_expanded
P108,N253,p2-E09-luminal-Sca1-pos-K27-F9689,P108T0213_luminal-Sca1-pos,exp4,p2,E09,129194.3828,100011.6172,84659,207307.1094,104189.3203,130398,5014.067948,57108.76692,-218.77555,479.5373942,83406.19349,1537.783342,luminal,luminal-Sca1-pos
P108,N253,p2-F09-luminal-Sca1-pos-K27-F9689,P108T0214_luminal-Sca1-pos,exp4,p2,F09,136690.4063,107981.4609,82960,187734.7969,120619.0781,102002,35863.92904,83893.78618,-453.504622,132.6104511,2329.186307,12219.16618,luminal,luminal-Sca1-pos
P108,N253,p2-G09-basal-Tspan8-pos-K27-F9689,P108T0215_basal-Tspan8-pos,exp4,p2,G09,187967.9219,105857.7422,116370,145923.7969,114862.9844,83258,80448.46356,3004.85914,163.3617254,589.9389795,-25.1044326,4543.865499,basal,basal-Tspan8-pos
P108,N253,p2-H09-luminal-Sca1-pos-K27-F9739,P108T0216_luminal-Sca1-pos,exp4,p2,H09,113809.3594,98432.32031,75774,175062.7969,95675.40625,119915,12536.57501,69411.15977,-182.8550802,1313.947283,5224.390242,100711.363,luminal,luminal-Sca1-pos
P108,N253,p2-I09-luminal-Sca1-neg-K27-F9739,P108T0217_luminal-Sca1-neg,exp4,p2,I09,131628.7031,92243.40625,93518,197187.1094,103851.4141,124436,10112.75093,33594.09564,-252.6516466,92.8622765,854.0474895,52185.63478,luminal,luminal-Sca1-neg
P108,N253,p2-J09-luminal-Sca1-pos-K27-F9739,P108T0218_luminal-Sca1-pos,exp4,p2,J09,170591.5469,95307.78125,117303,114844.4063,97983.97656,76813,10694.08999,71258.03017,-576.8997662,28.06830776,1949.764174,124607.6501,luminal,luminal-Sca1-pos
P108,N253,p2-K09-luminal-Sca1-neg-K27-F9739,P108T0219_luminal-Sca1-neg,exp4,p2,K09,153650.2813,90234.46875,111594,129303.9063,84640.73438,100118,21544.44251,99865.3,-648.5532582,527.7185653,800.55897,138306.3562,luminal,luminal-Sca1-neg
P108,N253,p2-L09-basal-Tspan8-pos-K27-F9739,P108T0220_basal-Tspan8-pos,exp4,p2,L09,107603.0234,84055.92188,83895,96817.60156,99307.26563,63893,14726.87633,5812.802261,382.96281,3290.164543,6766.096096,3043.161023,basal,basal-Tspan8-pos
P108,N253,p2-A10-basal-Tspan8-neg-K27-F9689,P108T0221_basal-Tspan8-neg,exp4,p2,A10,211152.7656,94470.96875,146480,103040.3047,100980.2031,66873,44854.64103,4552.069298,167.9351923,257.0597605,137.2378655,2448.489647,basal,basal-Tspan8-neg
P108,N253,p2-B10-basal-Tspan8-neg-K27-F9689,P108T0222_basal-Tspan8-neg,exp4,p2,B10,101542.7031,84954.01563,78333,75231.20313,83068.29688,59353,112359.5483,7340.60984,64.68902974,-413.6487118,787.7506088,-372.4198383,basal,basal-Tspan8-neg
P108,N253,p2-C10-luminal-Sca1-neg-K27-F9689,P108T0223_luminal-Sca1-neg,exp4,p2,C10,70873.60156,97474.82031,47651,119540.3047,96830.80469,80906,21068.41586,86273.0512,74.03414244,-237.5460503,817.001613,41915.18457,luminal,luminal-Sca1-neg
P108,N253,p2-D10-luminal-Sca1-neg-K27-F9689,P108T0224_luminal-Sca1-neg,exp4,p2,D10,98631.125,90295.4375,71586,148936.7031,91906.21875,106203,6564.238409,28915.63553,36.11458305,142.5721656,1246.61382,13058.12189,luminal,luminal-Sca1-neg
P108,N253,p2-E10-luminal-Sca1-pos-K27-F9689,P108T0225_luminal-Sca1-pos,exp4,p2,E10,127896.8594,97639.32813,85845,130968.2031,100110.0156,85737,33293.14664,106629.6394,-247.1027964,-1573.981637,5811.830103,84558.3913,luminal,luminal-Sca1-pos
P108,N253,p2-F10-luminal-Sca1-pos-K27-F9689,P108T0226_luminal-Sca1-pos,exp4,p2,F10,134795.0781,100665.8359,87755,186708.5,107202.8047,114140,38626.1916,117707.6227,-436.142788,1403.02445,6811.060804,205312.5958,luminal,luminal-Sca1-pos
P108,N253,p2-H10-luminal-Sca1-pos-K27-F9739,P108T0228_luminal-Sca1-pos,exp4,p2,H10,244166.0313,102830.5313,155612,99501.60156,108637.0156,60025,9893.921917,76612.90119,-526.2082344,190.4135706,1940.067546,92432.18533,luminal,luminal-Sca1-pos
P108,N253,p2-I10-luminal-Sca1-neg-K27-F9739,P108T0229_luminal-Sca1-neg,exp4,p2,I10,111234.8984,85842.19531,84922,108895.6016,85637.27344,83335,8939.325028,20193.00108,-7.174964682,1345.812249,131.8075915,1180.701304,luminal,luminal-Sca1-neg
P108,N253,p2-J10-luminal-Sca1-pos-K27-F9739,P108T0230_luminal-Sca1-pos,exp4,p2,J10,120319.5,110227.8359,71536,217615.2031,108188.5469,131822,30141.47734,104544.5387,-885.2019555,-257.6372815,23946.53132,6775.302714,luminal,luminal-Sca1-pos
P108,N253,p2-K10-luminal-Sca1-neg-K27-F9739,P108T0231_luminal-Sca1-neg,exp4,p2,K10,154088.3438,84739.60938,119169,79292.39844,82305.25,63137,18333.22783,69135.75651,-563.5981256,-1024.951311,760.5984047,250194.2182,luminal,luminal-Sca1-neg
P108,N253,p2-L10-basal-Tspan8-pos-K27-F9739,P108T0232_basal-Tspan8-pos,exp4,p2,L10,141073.9375,86325.13281,107100,145800.6094,87621.28906,109051,88836.46121,3607.742236,229.3372357,1636.198273,1302.917877,5719.506008,basal,basal-Tspan8-pos
P108,N253,p2-A11-basal-Tspan8-neg-K27-F9689,P108T0233_basal-Tspan8-neg,exp4,p2,A11,118834.8047,85831.90625,90735,112713.7031,95203.0625,77590,82119.59435,5205.137607,159.1277669,848.5514244,580.6306382,638.2827335,basal,basal-Tspan8-neg
