"","FSC.A","FSC.H","FSC.W","BSC.A","BSC.H","BSC.W","DAPI","H2Db","HLA","Well","Annot","CB"
"2889",428290.5,129136,376,89214.27,24948,376,80.68626,424.9881,28.4561,NA,"not_sorted",NA
"2890",484496,138241.6,403,104275.6,31478.72,403,112.8513,111701,884.9946,NA,"not_sorted",NA
"2891",521204.9,121851.5,455,138491.3,35276.64,455,364.611,10640.71,72.7057,NA,"not_sorted",NA
"2892",314579.7,102578.6,328,79953.13,25095.84,328,111.9311,107091.5,325.1753,NA,"not_sorted",NA
"2893",452054.8,123898.9,416,137955.6,33873.28,416,301.4433,6062.97,-335.1491,NA,"not_sorted",NA
"2894",468752.8,117962.9,421,189012.4,45459.68,421,252.581,21581.45,-277.7383,NA,"not_sorted",NA
"2895",338865.5,110293.1,339,55369.83,16231.04,339,-5.54017,97515.27,578.7297,NA,"not_sorted",NA
"2896",234415.9,86300.48,274,46813.04,17038.56,274,35.66209,3503.607,-70.81376,NA,"not_sorted",NA
"2897",337149.6,90361.6,374,56381.32,13936.16,374,342.4032,27300.42,-123.5863,NA,"not_sorted",NA
"2898",581492.7,148977.9,456,122176.8,30425.92,456,51.66528,29444.51,-858.6541,NA,"not_sorted",NA
"2899",590726.4,122575,499,180919.5,40284.16,499,225.2112,164660.5,1040.842,NA,"not_sorted",NA
"2900",642241.3,140907.2,501,134658.5,30378.88,501,88.06127,45607.9,-816.4261,NA,"not_sorted",NA
"2901",422160.6,102793.6,415,123838.5,32855.2,415,100.6259,33320.77,-561.6119,NA,"not_sorted",NA
"2902",367180.2,105154.6,369,108743.1,33452.16,369,268.6715,88263.08,899.6472,NA,"not_sorted",NA
"2903",292110.3,106624,304,58112.38,19023.2,304,83.38781,73518.87,460.2135,NA,"not_sorted",NA
"2904",506886.8,107417,484,179718,41265.28,484,44.6144,356.1317,-29.03028,NA,"not_sorted",NA
"2905",552265.1,122091.2,480,175800.1,39712.96,480,153.4897,11232.91,-296.2373,NA,"not_sorted",NA
"2906",247179.6,77297.92,299,51441.63,17039.68,299,122.3588,10621.76,38.73764,NA,"not_sorted",NA
"2907",371734.3,134097.6,332,46862.68,15630.72,332,54.07452,66611.16,213.6801,NA,"not_sorted",NA
"2908",302032.2,104935,315,88911.52,29484,315,-1.908496,105051.7,-772.3869,NA,"not_sorted",NA
"2909",326284.2,105441.3,333,92796.8,29891.68,333,78.32188,70313.42,49.4496,NA,"not_sorted",NA
"2910",323379.3,90496,351,110847.2,34242.88,351,405.283,114032.1,1108.187,NA,"not_sorted",NA
"2911",661822.6,131293.1,525,264310.6,49079.52,525,220.6996,42295.43,154.1069,NA,"not_sorted",NA
"2912",328118.8,108156.2,332,68890.88,21865.76,332,165.0918,85688.47,96.87357,NA,"not_sorted",NA
"2913",608784.3,145217,473,180018.9,41634.88,473,127.118,80680.34,-266.6752,NA,"not_sorted",NA
"2914",421287.5,112593.6,400,175687.3,49566.72,400,127.1024,158227.9,1184.966,NA,"not_sorted",NA
"2915",294968.3,100150.4,311,65048.77,21235.2,311,34.99493,11863.75,-148.1249,NA,"not_sorted",NA
"2916",275841.8,98611.52,298,45233.86,15704.64,298,116.031,15194.99,163.7948,NA,"not_sorted",NA
"2917",291897.6,98174.72,312,93931.53,31253.6,312,158.7686,92366.86,293.4207,NA,"not_sorted",NA
"2918",366755.3,124268.5,339,75195.73,25145.12,339,144.1983,107676.7,512.7716,NA,"not_sorted",NA
"2919",298059.7,106310.4,309,35342.29,11792.48,309,44.65862,30382,-78.7377,NA,"not_sorted",NA
"2920",233910.2,85030.4,275,30407.38,11129.44,275,-35.3033,9265.196,14.34418,NA,"not_sorted",NA
"2921",257362.2,77268.8,305,68018.3,22472.8,305,250.1723,26651.63,-292.7495,NA,"not_sorted",NA
"2922",332306.7,116576.3,324,62821.06,21020.16,324,101.7062,63315.61,265.6665,NA,"not_sorted",NA
"2923",318075,99874.88,331,115306,35980,331,186.8165,142588.8,1276.552,NA,"not_sorted",NA
"2924",262124.7,89333.44,295,68634.97,23505.44,295,15.03753,17746.12,-279.1176,NA,"not_sorted",NA
"2925",445166.5,106196.2,442,201395,50659.84,442,430.8793,137821.7,763.0402,NA,"not_sorted",NA
"2926",388009.8,117620.2,364,57191.86,17852.8,364,41.28743,10838.56,-333.7427,NA,"not_sorted",NA
"2927",200179.6,74002.88,250,32185.28,11842.88,250,84.51456,34956.79,187.9493,NA,"not_sorted",NA
"2928",273043.5,96720.96,297,66531.34,22179.36,297,138.3776,101772.9,1459.472,NA,"not_sorted",NA
"2929",373472.2,133356.2,336,105439.1,32132.8,336,139.6902,34939.23,-207.9948,NA,"not_sorted",NA
"2930",425148.3,117833,393,62291.05,17158.4,393,139.8361,395.0132,8.960295,NA,"not_sorted",NA
"2931",481757.5,143893.1,392,101025.1,27487.04,392,61.826,149767.9,1239.765,NA,"not_sorted",NA
"2932",215198.9,79524.48,262,39239.73,15254.4,262,84.35149,5915.237,-26.72569,NA,"not_sorted",NA
