Exp,Run_RNA,Run_epi,BC_RNA,plateform_code_rna,bio_name_rna,Well,BC_epi,Plate,Well,FSC-A,FSC-W,FSC-H,SSC-A,SSC-W,SSC-H,FITC-A,Tomato-A,APC-A,APC-Cy7-A,DAPI-A,Alexa Fluor 700-A,facs_phenotype
exp6,N248,N232,N248T0235_p1-Day0-BCP13-cell,T0235_p1-Day0-BCP13-cell,p1-Day0-BCP13-cell-K4-F01,F01,p1-Day0-BCP13-cell-K4-F01,p1,F01,22653.54102,80454.26563,18453,78983.21875,82269.6875,62918,13106.00338,138.2643145,92.54163599,1340.422771,826.7689023,2927.898327,basal
exp6,N248,N232,N248T0236_p1-Day0-BCP13-cell,T0236_p1-Day0-BCP13-cell,p1-Day0-BCP13-cell-K4-F02,F02,p1-Day0-BCP13-cell-K4-F02,p1,F02,36028.72266,88420.40625,26704,97709.07031,89096.60156,71871,5924.71057,293.5202539,930.9127533,667.8843502,1631.461739,10988.31732,basal
exp6,N248,N232,N248T0237_p1-Day0-BCP13-cell,T0237_p1-Day0-BCP13-cell,p1-Day0-BCP13-cell-K4-F03,F03,p1-Day0-BCP13-cell-K4-F03,p1,F03,42325.01172,97224.39063,28530,59288.33984,82681.21094,46994,8455.872426,217.3132164,103.5453593,765.2429536,2862.720573,2695.202421,basal
exp6,N248,N232,N248T0238_p1-Day0-BCP13-cell,T0238_p1-Day0-BCP13-cell,p1-Day0-BCP13-cell-K4-F04,F04,p1-Day0-BCP13-cell-K4-F04,p1,F04,27226.29102,96219.91406,18544,64330.40234,85798.3125,49138,8374.159453,144.5320316,287.7687573,1218.280817,1152.405222,4132.485817,basal
exp6,N248,N232,N248T0239_p1-Day0-BCP13-cell,T0239_p1-Day0-BCP13-cell,p1-Day0-BCP13-cell-K4-F05,F05,p1-Day0-BCP13-cell-K4-F05,p1,F05,57336.37109,91248.10156,41180,63324.51172,103792.3984,39984,12167.92438,138.9598102,423.1258079,1406.853814,1242.017965,10108.39801,basal
exp6,N248,N232,N248T0240_p1-Day0-BCP13-cell,T0240_p1-Day0-BCP13-cell,p1-Day0-BCP13-cell-K4-F06,F06,p1-Day0-BCP13-cell-K4-F06,p1,F06,30389.45117,79897.42969,24927,51036.55078,80933.32031,41327,3288.624525,52.35609605,1384.630141,1180.498287,792.2606236,3020.497733,basal
exp6,N248,N232,N248T0241_p1-Day0-BCP13-cell,T0241_p1-Day0-BCP13-cell,p1-Day0-BCP13-cell-K4-F07,F07,p1-Day0-BCP13-cell-K4-F07,p1,F07,30490.46094,82438.33594,24239,52538.11328,86720.17969,39704,10324.31834,119.8045353,126.2295812,2236.800934,773.3820419,5424.958491,basal
exp6,N248,N232,N248T0242_p1-Day0-BCP13-cell,T0242_p1-Day0-BCP13-cell,p1-Day0-BCP13-cell-K4-F08,F08,p1-Day0-BCP13-cell-K4-F08,p1,F08,45966.83203,87681.76563,34357,50851.28125,88465.64844,37671,6646.312072,54.2715745,248.4609758,1472.642046,1135.966417,5966.799585,basal
exp6,N248,N232,N248T0243_p1-Day0-BCP13-cell,T0243_p1-Day0-BCP13-cell,p1-Day0-BCP13-cell-K4-F09,F09,p1-Day0-BCP13-cell-K4-F09,p1,F09,28776.02148,83063.14063,22704,108221.9297,85944.92188,82523,16799.95912,153.9298066,205.6962024,1470.666717,1118.591297,6289.903692,basal
exp6,N248,N232,N248T0244_p1-Day0-BCP13-cell,T0244_p1-Day0-BCP13-cell,p1-Day0-BCP13-cell-K4-F10,F10,p1-Day0-BCP13-cell-K4-F10,p1,F10,32390.54102,81921.375,25912,36720.32031,77704.32031,30970,4989.000919,125.9683206,701.6378835,964.4928004,493.4523339,3564.454587,basal
exp6,N248,N232,N248T0245_p1-Day0-BCP13-cell,T0245_p1-Day0-BCP13-cell,p1-Day0-BCP13-cell-K4-F11,F11,p1-Day0-BCP13-cell-K4-F11,p1,F11,43321.46094,86052.04688,32993,39431.47266,91699.40625,28181,5630.586528,37.96179328,1073.403628,816.6548081,2696.657931,8716.714078,basal
exp6,N248,N232,N248T0246_p1-Day0-BCP13-cell,T0246_p1-Day0-BCP13-cell,p1-Day0-BCP13-cell-K4-F12,F12,p1-Day0-BCP13-cell-K4-F12,p1,F12,50254.75,88785.42188,37095,51700.03125,93139.07813,36378,11794.85557,136.4703997,1453.033806,1026.563167,1773.351452,5144.128042,basal
exp6,N248,N232,N248T0259_p1-Day0-BCP13-cell,T0259_p1-Day0-BCP13-cell,p1-Day0-BCP13-cell-K4-G01,G01,p1-Day0-BCP13-cell-K4-G01,p1,G01,45253.39063,83964.95313,35321,46042.99219,86139.69531,35030,6009.862683,77.81569402,240.8153242,555.9836961,873.8074674,5123.370598,basal
